City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
113,Bengkulu,ID,-3.8004,102.2655,74.35,95,100,12.26,overcast clouds
114,Kruisfontein,ZA,-34.0033,24.7314,66.88,91,22,11.14,few clouds
115,Dikson,RU,73.5069,80.5464,-20.74,100,98,3.74,overcast clouds
116,Talnakh,RU,69.4865,88.3972,-17.64,100,100,2.66,overcast clouds
117,Hokitika,NZ,-42.7167,170.9667,69.06,51,100,7.78,overcast clouds
118,Moron,AR,-34.6534,-58.6198,64.15,84,43,11.16,scattered clouds
119,Naze,JP,28.3667,129.4833,50.92,66,99,14.67,overcast clouds
120,Parambu,BR,-6.2111,-40.6944,73.22,80,100,2.13,overcast clouds
121,Sao Filipe,CV,14.8961,-24.4956,73.08,73,0,9.24,clear sky
122,Pisco,PE,-13.7,-76.2167,68.05,88,40,5.75,scattered clouds
123,Matam,SN,15.6175,-13.3303,75.78,10,0,9.62,clear sky
124,Chapais,CA,49.7834,-74.8492,-16.82,100,31,2.15,scattered clouds
125,East London,ZA,-33.0153,27.9116,69.69,89,96,15.93,light rain
126,Corinto,GR,37.9407,22.9573,51.69,83,70,1.25,broken clouds
127,Yar-Sale,RU,66.8333,70.8333,-15.7,100,81,3.38,broken clouds
128,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,40,9.22,scattered clouds
129,Rohtak,IN,28.9,76.5667,46.49,81,11,2.35,few clouds
130,Tezu,IN,27.9167,96.1667,55.9,88,92,0.47,overcast clouds
131,Iraan,US,30.914,-101.8979,39.15,40,0,1.99,clear sky
132,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,17.27,broken clouds
133,Kavaratti,IN,10.5669,72.642,77.95,60,9,5.01,clear sky
134,Santa Maria,BR,-29.6842,-53.8069,73.26,52,68,5.06,broken clouds
135,Port Lincoln,AU,-34.7333,135.8667,78.89,48,8,19.28,clear sky
136,Quebec,CA,46.8123,-71.2145,-0.92,83,7,5.37,clear sky
137,Isangel,VU,-19.55,169.2667,82.36,84,95,15.01,overcast clouds
138,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.04,85,2,24.09,clear sky
139,Bethel,US,41.3712,-73.414,21.56,65,0,1.01,clear sky
140,Chaves,US,33.3834,-104.4505,41.59,30,0,10.36,clear sky
141,Lagoa,PT,39.05,-27.9833,58.35,77,2,15.75,clear sky
142,Goryachegorsk,RU,55.4053,88.9154,15.46,84,100,3.38,overcast clouds
143,Sibolga,ID,1.7427,98.7792,77.92,86,100,1.63,overcast clouds
144,Petatlan,MX,17.5167,-101.2667,72.07,77,0,3.15,clear sky
145,Kondopoga,RU,62.2057,34.2614,19.08,95,100,9.46,light snow
146,Chuy,UY,-33.6971,-53.4616,64.09,92,30,8.08,scattered clouds
147,Hofn,IS,64.2539,-15.2082,29.91,64,100,15.3,overcast clouds
148,Tuatapere,NZ,-46.1333,167.6833,58.82,50,49,6.67,scattered clouds
149,Hovd,MN,48.0056,91.6419,-13.52,76,12,2.93,few clouds
150,Sinnamary,GF,5.3833,-52.95,76.5,90,100,8.97,overcast clouds
151,Saint George,US,37.1041,-113.5841,50.59,23,0,1.01,clear sky
152,Dayong,CN,25.0209,118.2898,56.88,68,100,4.97,overcast clouds
153,Acapulco,MX,16.8634,-99.8901,80.42,74,0,9.22,clear sky
154,Puli,TW,23.9664,120.9695,67.23,46,36,1.05,scattered clouds
155,Saint-Louis,SN,16.3333,-15.0,76.32,11,0,9.91,clear sky
156,Nieuw Amsterdam,SR,5.8833,-55.0833,77.02,94,100,8.25,overcast clouds
157,Luanda,AO,-8.8368,13.2343,75.65,84,100,5.5,overcast clouds
158,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,75,10.36,broken clouds
159,Zeya,RU,53.75,127.2667,4.62,59,100,2.91,overcast clouds
160,Tessalit,ML,20.1986,1.0114,59.45,16,6,9.91,clear sky
161,Antalaha,MG,-14.9003,50.2788,76.28,78,100,2.64,overcast clouds
162,Torbay,CA,47.6666,-52.7314,45.57,94,100,14.97,moderate rain
163,Prizren,XK,42.2139,20.7397,38.84,90,94,1.19,overcast clouds
164,Hobyo,SO,5.3505,48.5268,74.8,73,10,12.71,clear sky
165,Palmer,US,42.1584,-72.3287,17.47,62,0,9.22,clear sky
166,Atar,MR,20.5169,-13.0499,69.49,11,0,4.7,clear sky
167,Shimoda,JP,34.6667,138.95,45.1,50,1,25.41,clear sky
168,Kavieng,PG,-2.5744,150.7967,83.89,72,100,7.2,overcast clouds
169,Fortuna,US,40.5982,-124.1573,50.67,88,0,8.05,clear sky
170,Calceta,EC,-0.85,-80.1667,76.91,89,81,3.22,broken clouds
171,Westerly,US,41.3776,-71.8273,21.42,66,0,8.05,clear sky
172,Kodiak,US,57.79,-152.4072,40.51,81,100,19.57,moderate rain
173,Tadine,NC,-21.55,167.8833,83.28,81,33,11.01,scattered clouds
174,Montepuez,MZ,-13.1256,38.9997,67.06,95,100,2.68,overcast clouds
175,Ribeira Grande,PT,38.5167,-28.7,59.54,74,4,15.59,clear sky
176,Syracuse,IT,37.0881,15.2792,55.62,82,86,5.61,overcast clouds
177,Ovsyanka,RU,55.9575,92.5519,23.97,87,100,5.14,overcast clouds
178,Sumenep,ID,-7.0167,113.8667,81.95,79,100,9.35,moderate rain
179,Bonfim,BR,3.0833,-59.95,78.08,75,100,5.14,overcast clouds
180,Ahuimanu,US,21.4447,-157.8378,82.11,70,40,3.0,scattered clouds
181,North Bend,US,43.4065,-124.2243,51.93,94,0,4.61,clear sky
182,Margate,GB,51.3813,1.3862,50.97,76,100,11.99,overcast clouds
183,Mitsamiouli,KM,-11.3847,43.2844,81.73,78,100,11.39,overcast clouds
184,San Patricio,US,28.017,-97.5169,44.83,53,0,7.11,clear sky
185,Hithadhoo,MV,-0.6,73.0833,81.64,73,2,6.71,clear sky
186,Pascagoula,US,30.3658,-88.5561,39.42,88,0,0.0,clear sky
187,Kununurra,AU,-15.7667,128.7333,87.78,74,75,4.61,broken clouds
188,Baglung,NP,28.2719,83.5898,43.36,62,1,4.03,clear sky
189,Nakamura,JP,32.9833,132.9333,41.7,40,47,12.46,scattered clouds
190,Punta Arenas,CL,-53.15,-70.9167,55.51,54,40,16.11,scattered clouds
191,Northam,GB,51.0333,-4.2167,50.41,95,100,32.28,overcast clouds
192,Qena,EG,26.1615,32.7183,49.26,59,0,5.73,clear sky
193,Fenoarivo,MG,-18.933,47.4354,66.27,88,75,14.97,broken clouds
194,Bima,ID,-8.4667,118.7167,84.81,74,31,6.58,scattered clouds
195,Cherskiy,RU,68.75,161.3,-28.17,98,25,1.14,scattered clouds
196,Codrington,AU,-38.2667,141.9667,79.12,37,66,9.75,broken clouds
197,Udaipur,IN,24.5712,73.6918,45.5,32,0,1.01,clear sky
198,Nageshwari,BD,25.9377,89.7148,55.92,83,0,4.9,clear sky
199,Miri,MY,4.4148,114.0089,84.34,84,40,2.3,scattered clouds
200,Yunhe,CN,34.0833,119.7167,37.44,29,85,4.59,overcast clouds
201,Kapaa,US,22.0752,-159.319,79.12,66,0,1.99,clear sky
202,Tecoanapa,MX,16.5167,-98.75,77.54,67,0,1.39,clear sky
203,Cuamba,MZ,-14.8031,36.5372,65.35,98,22,3.29,few clouds
204,Lompoc,US,34.6391,-120.4579,63.12,69,0,5.75,clear sky
205,Richards Bay,ZA,-28.783,32.0377,71.82,84,65,6.04,broken clouds
206,Sangar,RU,63.9242,127.4739,-30.37,96,100,3.6,overcast clouds
207,Sorland,NO,67.667,12.6934,36.18,86,65,27.6,light rain
208,Tongchuan,CN,35.0806,109.0897,25.95,86,100,5.88,light snow
209,Faanui,PF,-16.4833,-151.75,80.87,74,17,18.72,light rain
210,Port Elizabeth,ZA,-33.918,25.5701,69.1,100,40,16.11,scattered clouds
211,Kinablangan,PH,7.6947,126.5503,80.8,82,28,9.1,scattered clouds
212,Srednekolymsk,RU,67.45,153.6833,-28.32,96,24,2.35,few clouds
213,Quatre Cocos,MU,-20.2078,57.7625,79.09,80,100,14.47,overcast clouds
214,Benghazi,LY,32.1167,20.0667,59.4,68,13,8.99,few clouds
215,Gemena,CD,3.25,19.7667,71.6,32,100,3.24,overcast clouds
216,Ixtapa,MX,20.7,-105.2,72.63,78,20,8.05,few clouds
217,Mayumba,GA,-3.432,10.6554,76.78,86,99,3.94,overcast clouds
218,Iisalmi,FI,63.5592,27.1907,21.22,95,100,6.53,overcast clouds
219,Te Anau,NZ,-45.4167,167.7167,65.19,39,1,5.37,clear sky
220,Hamilton,US,39.1834,-84.5333,19.36,87,0,1.01,clear sky
221,Bud,US,39.447,-86.1758,18.68,88,7,7.34,clear sky
222,Port Macquarie,AU,-31.4333,152.9167,75.88,58,71,17.18,broken clouds
223,Cabo San Lucas,MX,22.8909,-109.9124,67.51,61,0,4.0,clear sky
224,Fairlie,GB,55.756,-4.8556,41.41,88,100,8.99,overcast clouds
225,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,85,89,12.03,overcast clouds
226,Ostroleka,PL,53.0862,21.5757,37.92,87,98,14.97,overcast clouds
227,Broken Hill,AU,-31.95,141.4333,80.83,28,4,15.7,clear sky
228,Merauke,ID,-8.4667,140.3333,85.78,68,100,11.52,overcast clouds
229,Amudat,UG,1.95,34.95,68.59,55,100,2.93,overcast clouds
230,Ramhormoz,IR,31.28,49.6035,42.87,55,0,6.04,clear sky
231,Avarua,CK,-21.2078,-159.775,82.45,74,20,16.11,few clouds
232,Khandyga,RU,62.6667,135.6,-31.47,97,96,2.39,overcast clouds
233,Tangier,MA,35.7806,-5.8137,58.26,94,0,4.61,clear sky
234,Bundaberg,AU,-24.85,152.35,81.21,57,93,7.0,overcast clouds
235,Kysyl-Syr,RU,63.8986,122.7617,-18.94,100,92,2.8,overcast clouds
236,Khatanga,RU,71.9667,102.5,-20.13,98,99,5.44,overcast clouds
237,Kiruna,SE,67.8557,20.2251,23.92,93,100,17.27,overcast clouds
238,Mumford,GH,5.2618,-0.759,78.91,86,1,5.46,light rain
239,Sioux Lookout,CA,50.1001,-91.917,7.18,85,100,6.91,overcast clouds
240,Fairbanks,US,64.8378,-147.7164,11.1,81,100,3.44,light snow
241,Geraldton,AU,-28.7667,114.6,79.21,65,100,17.27,overcast clouds
242,Rawson,AR,-43.3002,-65.1023,61.03,52,95,12.93,overcast clouds
243,Grand Gaube,MU,-20.0064,57.6608,79.38,79,100,5.01,overcast clouds
244,Tateyama,JP,34.9833,139.8667,44.87,38,92,6.46,overcast clouds
245,Tukrah,LY,32.5341,20.5791,54.63,69,87,12.39,overcast clouds
246,Yokkaichi,JP,34.9667,136.6167,40.98,64,95,15.55,overcast clouds
247,Prince Rupert,CA,54.3161,-130.3201,46.49,46,100,21.85,overcast clouds
248,Jasper,US,37.2001,-94.3502,36.14,46,0,5.99,clear sky
249,Gornopravdinsk,RU,60.05,69.9,14.83,98,100,1.48,overcast clouds
250,Sokoni,TZ,-6.4333,39.55,80.17,80,100,7.9,overcast clouds
251,Lavrentiya,RU,65.5833,-171.0,-15.23,95,25,10.58,scattered clouds
252,Arlit,NE,18.7369,7.3853,59.95,18,0,9.42,clear sky
253,Antofagasta,CL,-23.65,-70.4,65.48,79,23,2.75,few clouds
254,Casay,PH,9.8204,123.5496,79.32,81,98,17.81,overcast clouds
255,Jitra,MY,6.2681,100.4217,82.29,74,20,5.75,few clouds
256,Ostersund,SE,63.1792,14.6357,24.62,93,75,14.97,broken clouds
257,Kilosa,TZ,-6.8333,36.9833,71.49,78,100,3.53,overcast clouds
258,Rodos,GR,36.4408,28.2225,52.79,74,40,1.99,scattered clouds
259,Tilichiki,RU,60.4667,166.1,-2.83,76,5,8.63,clear sky
260,Saldanha,ZA,-33.0117,17.9442,64.45,71,72,2.91,broken clouds
261,Grand Baie,MU,-20.0182,57.5802,79.45,79,100,5.01,overcast clouds
262,Pangnirtung,CA,66.1451,-65.7125,-32.87,96,100,5.21,overcast clouds
263,Honiara,SB,-9.4333,159.95,87.21,67,86,7.78,overcast clouds
264,Olga,RU,43.7444,135.2892,13.78,46,63,16.04,broken clouds
